year,twh,intensity_base,intensity_clean,ai_share_mid,ai_twh_mid,non_ai_twh_mid,mtco2_base,mtco2_clean,ai_mtco2_mid,non_ai_mtco2_mid
2015,200.0,450.0,450.0,0.0,0.0,200.0,90.0,90.0,0.0,90.0
2018,200.0,426.667,416.667,0.006,1.2,198.8,85.333,83.333,0.512,84.821
2020,225.0,411.111,394.444,0.01,2.25,222.75,92.5,88.75,0.925,91.575
2021,270.0,403.333,383.333,0.025,6.75,263.25,108.9,103.5,2.722,106.178
2022,290.0,395.556,372.222,0.04,11.6,278.4,114.711,107.944,4.588,110.123
2024,415.0,380.0,350.0,0.07,29.05,385.95,157.7,145.25,11.039,146.661
2025,476.006,370.0,333.333,0.117,55.534,420.472,176.122,158.669,20.548,155.574
2026,545.979,360.0,316.667,0.163,89.177,456.802,196.552,172.893,32.104,164.449
2027,626.239,350.0,300.0,0.21,131.51,494.729,219.184,187.872,46.029,173.155
2028,718.297,340.0,283.333,0.257,184.363,533.934,244.221,203.517,62.683,181.538
2029,823.887,330.0,266.667,0.303,249.913,573.975,271.883,219.703,82.471,189.412
2030,945.0,320.0,250.0,0.35,330.75,614.25,302.4,236.25,105.84,196.56
